borrower_id,credit_score,annual_income,employment_length,dti,loan_amount,term,interest_rate,loan_purpose,home_ownership,default_status
2389,737,131718,21,14.3%,47665,60m,19.7%,small_business,mortgage,0
2390,785,110932,13,13.9%,29281,36m,8.89%,home_improvement,rent,1
2391,727,20192,2,26.5%,24481,60m,16.69%,car,mortgage,0
2392,627,136464,11,38.1%,32469,36m,16.81%,small_business,mortgage,1
2393,666,56413,35,6.7%,20867,36m,10.89%,home_improvement,mortgage,1
2394,669,32816,11,5.0%,42487,60m,6.37%,small_business,own,0
2395,752,59082,1,26.0%,24766,60m,12.98%,debt_consolidation,mortgage,0
2396,686,85048,1,14.9%,31737,36m,8.74%,small_business,mortgage,1
2397,711,143130,14,35.8%,23213,36m,8.69%,small_business,mortgage,0
2398,625,70940,22,16.5%,30355,60m,15.45%,medical,mortgage,1
2399,776,52130,28,15.1%,24537,36m,18.46%,home_improvement,own,0
2400,584,60142,16,14.4%,4794,60m,6.51%,debt_consolidation,mortgage,1
2401,550,149564,31,10.1%,46296,36m,16.57%,wedding,rent,1
2402,589,56468,6,25.4%,34324,60m,9.92%,credit_card,own,1
2403,613,50698,29,10.9%,32858,36m,18.47%,car,mortgage,1
2404,699,30655,27,19.9%,44850,36m,21.2%,car,rent,0
2405,609,67897,13,21.1%,15018,36m,21.14%,home_improvement,mortgage,1
2406,613,50075,29,5.7%,19481,60m,12.4%,small_business,rent,1
2407,642,29359,16,5.6%,17584,60m,16.35%,medical,own,1
2408,621,149048,31,23.2%,11850,36m,20.87%,small_business,own,1
2409,560,122197,5,29.4%,27701,36m,6.22%,home_improvement,rent,1
2410,654,125115,23,38.0%,43223,36m,17.11%,car,own,1
2411,778,62056,5,11.3%,45952,36m,21.73%,car,mortgage,0
2412,563,71831,26,8.6%,47975,36m,12.45%,small_business,mortgage,1
2413,609,79191,17,6.8%,2160,36m,14.11%,small_business,rent,1
2414,579,138592,23,20.3%,27832,36m,18.97%,small_business,rent,1
2415,584,141948,36,26.8%,33210,36m,6.36%,credit_card,mortgage,1
2416,762,53272,23,34.4%,24290,60m,12.71%,medical,rent,1
2417,714,128117,37,28.9%,31441,36m,10.91%,medical,mortgage,0
2418,554,34671,33,12.3%,26886,36m,5.34%,wedding,own,1
2419,632,47048,39,21.2%,34394,36m,8.92%,wedding,own,1
2420,672,96274,14,36.9%,10418,60m,12.92%,car,rent,1
2421,627,45963,10,16.4%,9081,60m,8.95%,car,rent,1
2422,703,63954,21,22.5%,39180,60m,17.05%,home_improvement,own,1
2423,611,92309,23,38.5%,12114,36m,13.97%,home_improvement,mortgage,1
2424,681,122120,0,30.7%,20722,36m,5.79%,wedding,own,1
2425,638,115430,17,31.2%,23972,60m,10.5%,credit_card,mortgage,1
2426,786,20717,11,13.8%,19985,36m,5.39%,car,mortgage,1
2427,591,31676,27,19.5%,7888,36m,12.16%,home_improvement,rent,1
2428,638,24434,39,7.9%,5718,60m,10.18%,credit_card,rent,1
2429,695,69810,6,26.2%,34147,36m,18.76%,medical,rent,1
2430,589,123361,22,8.6%,45382,36m,11.15%,car,rent,1
2431,621,138696,20,34.3%,20309,36m,12.5%,debt_consolidation,mortgage,1
2432,588,114636,33,33.5%,21299,36m,19.51%,car,mortgage,1
2433,653,24994,10,23.7%,43211,36m,14.62%,home_improvement,mortgage,1
2434,563,24234,21,9.9%,24036,36m,16.13%,car,own,1
2435,581,89300,34,5.9%,21885,60m,21.83%,wedding,mortgage,1
2436,728,63949,28,32.9%,31346,36m,9.14%,debt_consolidation,mortgage,0
2437,674,57405,27,26.0%,49971,36m,24.78%,wedding,own,1
2438,715,54872,17,29.9%,28691,36m,23.0%,car,mortgage,0
2439,646,62215,13,15.6%,42042,60m,10.73%,wedding,rent,1
2440,572,43185,17,22.8%,19986,36m,22.86%,home_improvement,mortgage,1
2441,612,63442,27,31.2%,29846,60m,20.08%,medical,mortgage,1
2442,692,143263,23,21.2%,49872,60m,23.62%,home_improvement,mortgage,1
2443,774,71759,7,26.0%,43401,60m,18.82%,credit_card,rent,1
2444,702,61153,7,32.6%,10192,36m,18.49%,wedding,rent,0
2445,694,97535,3,12.5%,41269,60m,5.07%,home_improvement,rent,0
2446,774,122023,26,7.3%,40487,36m,14.49%,credit_card,rent,0
2447,788,22581,35,23.6%,11412,36m,9.01%,car,mortgage,1
2448,796,71717,4,7.2%,17963,36m,11.48%,credit_card,mortgage,0
2449,743,22763,32,31.8%,35623,60m,24.58%,wedding,mortgage,0
2450,755,112910,33,30.2%,3017,36m,6.71%,small_business,rent,1
2451,602,75480,29,35.9%,7279,60m,19.45%,car,rent,1
2452,653,58759,7,27.4%,12412,36m,8.46%,credit_card,mortgage,1
2453,653,96067,38,7.4%,9712,36m,5.15%,wedding,mortgage,1
2454,728,138094,25,13.9%,17817,60m,15.03%,wedding,own,0
2455,588,45307,36,33.3%,30080,36m,8.22%,home_improvement,mortgage,1
2456,728,116371,33,10.8%,8624,60m,24.31%,debt_consolidation,mortgage,0
2457,747,31064,6,29.4%,31126,60m,9.07%,car,mortgage,1
2458,683,96848,39,32.3%,18579,36m,8.84%,credit_card,own,1
2459,616,57548,27,16.6%,17131,36m,5.64%,debt_consolidation,own,1
2460,684,56945,38,16.3%,39462,36m,11.6%,wedding,own,1
2461,728,67937,38,24.5%,48815,36m,5.48%,credit_card,own,1
2462,749,26476,27,35.1%,39419,36m,14.98%,credit_card,mortgage,1
2463,591,71756,13,12.8%,25375,36m,15.11%,credit_card,rent,1
2464,741,110101,37,37.9%,28093,60m,6.06%,home_improvement,mortgage,0
2465,793,22382,3,26.0%,47494,36m,9.8%,credit_card,rent,1
2466,564,69683,17,39.7%,34525,60m,21.64%,debt_consolidation,rent,1
2467,660,107999,24,8.1%,31030,36m,14.25%,small_business,mortgage,1
2468,706,65276,6,9.4%,46067,36m,13.69%,credit_card,mortgage,1
2469,582,53402,37,33.9%,7207,36m,18.98%,small_business,mortgage,1
2470,793,111881,27,35.3%,12897,60m,19.3%,medical,rent,0
2471,771,130300,4,20.6%,28639,36m,20.24%,wedding,mortgage,1
2472,780,46946,2,30.0%,4792,60m,21.61%,car,own,1
2473,704,99698,30,35.4%,2420,36m,9.65%,home_improvement,mortgage,1
2474,713,134690,19,6.5%,31224,36m,6.33%,medical,mortgage,1
2475,706,132309,18,25.1%,21198,36m,12.61%,medical,mortgage,1
2476,587,93933,10,34.9%,37608,36m,22.1%,debt_consolidation,own,1
2477,734,42335,39,18.9%,48205,36m,6.56%,debt_consolidation,rent,1
2478,646,65095,2,15.6%,19415,60m,16.52%,small_business,rent,1
2479,778,99930,22,32.8%,42407,60m,19.02%,small_business,rent,0
2480,704,149974,6,16.8%,19875,60m,14.63%,home_improvement,mortgage,0
2481,732,47197,22,5.1%,6975,60m,10.1%,home_improvement,rent,0
2482,582,147619,6,38.6%,28461,60m,11.53%,car,mortgage,1
2483,745,42010,33,25.7%,23331,60m,6.43%,credit_card,rent,1
2484,635,44123,18,33.7%,18893,36m,10.85%,home_improvement,rent,1
2485,615,107923,8,33.9%,20243,36m,5.89%,home_improvement,rent,1
2486,559,22890,17,7.3%,17535,36m,19.53%,small_business,own,1
2487,554,113305,24,11.0%,7061,36m,22.96%,credit_card,mortgage,1
2488,672,129162,13,15.9%,3858,60m,17.67%,car,rent,1
2489,623,140927,24,16.2%,27489,36m,18.13%,wedding,rent,1
2490,646,28026,18,28.1%,15678,60m,14.44%,wedding,mortgage,1
2491,667,84925,38,26.8%,36833,60m,8.12%,debt_consolidation,mortgage,1
2492,587,88842,14,22.3%,49159,36m,5.15%,car,mortgage,1
2493,690,53665,15,12.4%,21350,36m,11.88%,credit_card,own,1
2494,708,29277,26,18.4%,15346,36m,20.03%,debt_consolidation,mortgage,0
2495,596,62239,39,24.0%,8773,36m,24.21%,debt_consolidation,own,1
2496,777,67664,9,21.4%,31465,36m,13.62%,debt_consolidation,rent,0
2497,658,68008,3,9.5%,11788,36m,12.31%,car,own,1
2498,765,34683,18,27.7%,34343,36m,13.92%,small_business,mortgage,0
2499,729,20670,27,7.6%,48862,36m,13.56%,credit_card,rent,0
2500,733,109211,20,18.2%,39210,36m,17.52%,car,rent,0
2501,564,37889,13,29.9%,11247,36m,19.68%,car,mortgage,1
2502,706,75612,32,5.7%,47963,60m,20.7%,medical,rent,0
2503,685,64535,9,24.9%,43983,36m,17.99%,home_improvement,mortgage,1
2504,554,98542,18,16.7%,37972,60m,13.75%,wedding,mortgage,1
2505,706,74319,29,5.3%,18959,60m,24.0%,car,rent,1
2506,596,134072,21,11.7%,25807,60m,19.22%,medical,rent,1
2507,617,112067,2,37.9%,36133,36m,13.53%,wedding,own,1
2508,625,41639,36,23.2%,26218,36m,13.93%,small_business,rent,1
2509,722,84712,17,39.9%,23734,36m,21.36%,small_business,rent,1
2510,679,36633,10,23.4%,24828,36m,13.81%,credit_card,rent,1
2511,704,141145,1,24.0%,19400,60m,15.33%,medical,own,0
2512,644,54660,11,18.7%,22002,36m,10.83%,car,mortgage,1
2513,664,88975,5,15.9%,34793,60m,21.78%,credit_card,mortgage,1
2514,792,52172,39,13.8%,38492,60m,15.45%,medical,rent,0
2515,713,79197,28,17.0%,34217,36m,16.05%,car,mortgage,0
2516,585,121158,29,21.1%,38226,60m,22.61%,credit_card,rent,1
2517,575,78847,1,11.7%,29932,36m,23.41%,wedding,mortgage,1
2518,592,31577,8,12.9%,45327,36m,21.48%,credit_card,rent,1
2519,576,97299,1,14.5%,32875,36m,6.31%,wedding,mortgage,1
2520,618,40176,28,20.7%,27046,60m,13.87%,home_improvement,mortgage,1
2521,697,64386,32,27.8%,25664,36m,11.87%,small_business,rent,1
2522,560,83972,9,35.0%,26453,60m,9.27%,wedding,own,1
2523,623,140018,33,15.0%,6746,36m,23.18%,car,rent,1
2524,653,109791,7,11.4%,25973,36m,22.8%,home_improvement,rent,1
2525,587,61003,36,18.3%,15217,36m,14.31%,credit_card,own,1
2526,683,39996,32,36.3%,25362,36m,7.69%,credit_card,rent,0
2527,749,120922,5,5.3%,43835,36m,5.27%,medical,rent,1
2528,572,106598,39,28.7%,11133,36m,13.77%,home_improvement,mortgage,1
2529,596,55931,18,21.7%,37809,60m,5.8%,debt_consolidation,rent,1
2530,639,144168,31,10.6%,42533,36m,17.19%,car,own,1
2531,595,55710,26,16.2%,7404,60m,17.17%,small_business,rent,1
2532,656,143099,0,12.9%,35339,36m,22.98%,wedding,rent,1
2533,689,54693,32,35.7%,30725,36m,8.8%,home_improvement,own,0
2534,767,55740,39,21.9%,10796,36m,12.43%,credit_card,rent,0
2535,690,97241,31,24.7%,47380,36m,22.19%,medical,own,1
2536,653,128944,4,25.8%,23364,60m,14.49%,car,rent,1
2537,739,113583,16,27.4%,43341,60m,6.19%,small_business,rent,1
2538,759,96502,7,22.3%,3236,60m,7.22%,wedding,rent,0
2539,766,37374,33,5.6%,4380,60m,21.27%,car,rent,0
2540,774,96674,8,16.7%,41945,60m,19.87%,medical,mortgage,0
2541,660,136500,22,11.4%,16538,60m,22.52%,credit_card,rent,1
2542,653,101471,34,28.8%,13971,60m,7.38%,wedding,mortgage,1
2543,609,65913,6,7.0%,45065,36m,20.21%,small_business,rent,1
2544,720,143683,14,24.7%,36285,36m,18.1%,debt_consolidation,rent,0
2545,753,86025,19,12.4%,19917,60m,9.65%,medical,rent,0
2546,785,64516,24,38.2%,40655,36m,24.48%,debt_consolidation,mortgage,0
2547,649,107796,2,16.7%,13486,60m,16.41%,home_improvement,rent,1
2548,789,46069,23,16.4%,39410,36m,23.14%,car,rent,0
2549,617,138333,33,37.3%,27446,60m,22.18%,small_business,own,1
2550,682,76233,21,19.6%,23703,36m,11.66%,credit_card,rent,1
2551,669,104811,10,38.7%,46191,36m,15.72%,debt_consolidation,rent,1
2552,586,79049,7,5.8%,13399,36m,13.63%,credit_card,rent,1
2553,621,121820,38,15.7%,40829,60m,19.18%,home_improvement,rent,1
2554,676,138028,34,28.3%,14685,36m,16.76%,debt_consolidation,mortgage,1
2555,655,59178,37,36.2%,24241,60m,20.7%,credit_card,rent,1
2556,790,52821,7,14.0%,6487,60m,5.24%,credit_card,mortgage,0
2557,641,71727,36,37.6%,14018,36m,18.76%,wedding,mortgage,1
2558,580,80935,26,25.8%,32825,60m,11.38%,home_improvement,own,1
2559,671,36999,27,33.0%,9750,36m,9.48%,medical,rent,1
2560,686,82522,39,18.9%,19684,60m,21.02%,small_business,mortgage,1
2561,795,58712,33,12.4%,45118,36m,6.78%,home_improvement,rent,1
2562,600,84551,31,36.9%,16410,36m,9.57%,debt_consolidation,mortgage,1
2563,578,60172,14,37.7%,17105,36m,9.07%,debt_consolidation,mortgage,1
2564,755,53722,16,22.4%,20913,60m,13.4%,car,rent,1
2565,589,30625,32,5.2%,38028,60m,11.45%,credit_card,mortgage,1
2566,590,87165,15,8.8%,49342,36m,19.41%,small_business,mortgage,1
2567,763,96509,28,25.1%,48480,36m,18.99%,debt_consolidation,rent,0
2568,560,26859,8,5.8%,19711,60m,11.51%,medical,rent,1
2569,700,61609,32,18.9%,26967,36m,13.74%,medical,rent,0
2570,550,63307,28,15.6%,38023,36m,9.16%,home_improvement,rent,1
2571,595,130986,12,30.0%,38005,36m,18.42%,debt_consolidation,rent,1
2572,650,121582,20,6.9%,28622,36m,12.92%,small_business,mortgage,1
2573,698,41839,20,22.1%,47201,60m,7.66%,small_business,rent,0
2574,639,47216,4,25.3%,11497,60m,7.55%,debt_consolidation,rent,1
2575,659,72953,9,26.6%,18350,36m,11.45%,wedding,mortgage,1
2576,713,104481,5,19.2%,24696,60m,19.95%,car,mortgage,0
2577,731,80593,12,15.7%,29470,60m,5.51%,car,own,0
2578,764,92075,0,28.9%,32889,36m,10.16%,car,own,0
2579,606,69522,19,34.7%,12224,36m,8.25%,wedding,mortgage,1
2580,550,119161,7,29.3%,43724,60m,24.13%,debt_consolidation,rent,1
2581,612,24886,9,37.6%,7465,36m,19.11%,home_improvement,mortgage,1
2582,731,131249,8,30.1%,18882,36m,9.66%,wedding,mortgage,0
2583,604,27485,2,31.8%,34203,60m,9.15%,small_business,mortgage,1
2584,664,51455,10,10.9%,29944,60m,22.16%,home_improvement,rent,1
2585,717,131984,11,19.7%,31837,60m,8.8%,home_improvement,mortgage,0
2586,692,36767,9,22.0%,4944,36m,24.94%,wedding,mortgage,1
2587,698,132701,24,14.0%,26336,60m,10.65%,home_improvement,rent,1
2588,724,48453,24,23.5%,40624,60m,6.69%,medical,mortgage,1
2589,750,96280,10,15.2%,46764,60m,18.82%,debt_consolidation,rent,0
2590,602,122638,35,29.1%,33796,60m,17.19%,credit_card,mortgage,1
2591,686,73442,38,21.5%,30789,60m,25.0%,debt_consolidation,mortgage,0
2592,751,71877,25,21.1%,47420,60m,21.04%,home_improvement,rent,0
2593,729,32226,13,39.4%,26222,36m,13.58%,medical,own,1
2594,606,113405,38,18.7%,40845,60m,18.53%,medical,own,1
2595,666,42588,39,17.7%,2135,36m,21.36%,debt_consolidation,rent,1
2596,703,98976,0,16.2%,17773,60m,15.27%,credit_card,rent,0
2597,718,51709,3,36.3%,44060,60m,10.46%,wedding,mortgage,1
2598,584,67788,29,22.4%,28447,36m,9.2%,wedding,mortgage,1
2599,612,108031,11,26.0%,6033,36m,10.91%,home_improvement,mortgage,1
2600,793,57019,34,11.3%,22497,60m,21.96%,medical,mortgage,0
2601,574,64948,12,23.9%,16178,36m,12.61%,home_improvement,own,1
2602,639,85133,30,14.6%,8546,36m,10.73%,home_improvement,mortgage,1
2603,624,134444,37,30.6%,10396,36m,21.12%,small_business,rent,1
2604,587,86458,22,34.1%,22978,36m,5.64%,home_improvement,mortgage,1
2605,679,137603,3,30.0%,45331,60m,16.88%,car,mortgage,1
2606,684,47526,15,30.6%,14882,36m,22.47%,small_business,own,1
2607,759,93493,6,22.9%,18945,36m,13.2%,home_improvement,rent,0
2608,768,148585,21,29.9%,23784,60m,10.39%,home_improvement,mortgage,0
2609,711,72198,28,19.8%,5314,60m,14.83%,credit_card,mortgage,0
2610,640,134100,10,27.8%,20595,36m,19.35%,wedding,mortgage,1
2611,566,143854,32,14.1%,20755,36m,15.33%,small_business,rent,1
2612,677,119534,28,7.4%,34311,60m,5.15%,wedding,own,0
2613,720,63395,38,19.5%,47695,36m,6.57%,small_business,mortgage,1
2614,736,44031,11,21.2%,32598,60m,19.43%,credit_card,own,0
2615,657,95542,6,14.0%,37449,60m,13.0%,car,rent,1
2616,728,145814,38,30.5%,37574,36m,20.7%,small_business,mortgage,0
2617,731,57701,25,7.6%,46729,60m,17.99%,car,own,0
2618,701,132599,39,12.8%,20639,36m,16.63%,home_improvement,own,1
2619,574,45939,8,31.2%,47370,36m,23.03%,medical,own,1
2620,748,69145,33,20.3%,33023,60m,5.43%,medical,rent,0
2621,729,40324,12,29.7%,11092,36m,8.1%,debt_consolidation,mortgage,0
2622,747,42867,35,24.9%,8382,60m,17.49%,medical,rent,0
2623,794,20203,24,38.3%,44710,60m,6.32%,medical,rent,0
2624,637,36544,23,25.9%,5159,36m,17.9%,credit_card,rent,1
2625,710,35899,16,5.5%,7656,60m,24.68%,debt_consolidation,mortgage,0
2626,726,49063,1,17.4%,3452,36m,22.58%,wedding,mortgage,0
2627,578,110880,12,10.0%,44203,36m,16.82%,debt_consolidation,mortgage,1
2628,612,23748,30,37.4%,20706,60m,22.88%,credit_card,mortgage,1
2629,784,125022,28,8.6%,11862,36m,7.33%,medical,rent,0
2630,699,137269,27,18.6%,12219,60m,14.09%,medical,own,1
2631,703,86629,26,12.9%,25481,60m,13.57%,debt_consolidation,rent,0
2632,705,100764,14,34.6%,36536,36m,11.73%,medical,mortgage,1
2633,663,40884,30,15.8%,8096,36m,5.0%,debt_consolidation,mortgage,1
2634,762,45183,39,39.7%,39953,36m,22.82%,medical,own,1
2635,598,101570,14,6.4%,13855,60m,20.55%,home_improvement,own,1
2636,748,91246,32,9.5%,45262,36m,18.06%,credit_card,rent,0
2637,630,128036,19,12.9%,16460,36m,7.58%,small_business,rent,1
2638,633,39259,11,33.4%,35937,36m,12.56%,car,mortgage,1
2639,654,55959,36,35.7%,23094,36m,23.49%,wedding,mortgage,1
2640,726,136525,8,7.5%,41358,60m,17.34%,home_improvement,mortgage,0
2641,697,53457,22,6.1%,29924,60m,17.07%,medical,rent,1
2642,667,105679,7,31.1%,19789,36m,23.26%,car,mortgage,1
2643,635,145829,31,9.7%,2123,36m,16.2%,small_business,rent,1
2644,769,148216,13,9.7%,7909,60m,16.95%,home_improvement,rent,0
2645,612,22103,26,5.8%,33854,36m,11.91%,small_business,rent,1
2646,738,85901,24,6.7%,5896,60m,12.43%,credit_card,own,0
2647,653,132314,12,14.2%,42834,36m,18.71%,car,rent,1
2648,598,64535,20,7.3%,44141,36m,11.41%,small_business,mortgage,1
2649,620,36103,30,17.9%,19111,60m,16.18%,car,rent,1
2650,550,118046,36,34.1%,9039,36m,10.58%,credit_card,mortgage,1
2651,773,110012,4,16.4%,46844,36m,8.32%,small_business,own,0
2652,690,98278,12,30.5%,26099,36m,14.09%,home_improvement,rent,1
2653,771,32391,27,8.3%,5670,60m,9.35%,car,own,0
2654,764,122476,24,28.1%,45335,60m,22.97%,wedding,own,0
2655,728,48901,34,16.1%,17029,36m,11.07%,wedding,mortgage,1
2656,672,140721,38,31.2%,33811,60m,16.95%,wedding,rent,1
2657,733,117537,6,9.8%,17793,36m,10.27%,small_business,own,0
2658,760,101159,37,36.4%,43318,36m,10.16%,credit_card,own,0
2659,611,87914,31,13.5%,22126,60m,12.01%,wedding,own,1
2660,581,70357,2,17.4%,21228,60m,23.32%,small_business,own,1
2661,707,106908,38,38.3%,20595,36m,12.83%,small_business,mortgage,0
2662,578,130335,36,25.2%,2972,36m,21.43%,home_improvement,mortgage,1
2663,598,58437,21,17.8%,2360,36m,8.95%,medical,mortgage,1
2664,722,55503,7,38.2%,4632,60m,5.96%,debt_consolidation,rent,1
2665,770,116282,16,16.5%,37958,60m,20.63%,medical,mortgage,0
2666,579,113459,26,8.3%,39716,60m,15.84%,medical,mortgage,1
2667,693,95403,32,39.9%,17346,60m,15.07%,debt_consolidation,mortgage,0
2668,717,61258,16,14.4%,20008,60m,10.44%,small_business,own,0
2669,568,53724,11,34.8%,14120,60m,6.45%,medical,rent,1
2670,567,84286,26,10.8%,32283,36m,14.66%,medical,rent,1
2671,550,94842,7,30.6%,9818,36m,22.34%,credit_card,rent,1
2672,627,124927,22,23.4%,7119,36m,7.4%,credit_card,rent,1
2673,664,34908,28,39.3%,32579,36m,23.58%,home_improvement,mortgage,1
2674,724,112617,19,24.3%,47721,60m,10.49%,car,own,0
2675,791,70626,15,5.9%,49668,60m,15.64%,small_business,mortgage,0
2676,743,57228,16,26.1%,31837,36m,6.33%,wedding,rent,0
2677,795,43386,15,10.1%,2975,60m,13.5%,home_improvement,rent,0
2678,769,66754,18,32.9%,18265,36m,7.52%,credit_card,mortgage,1
2679,662,130942,7,35.0%,6318,36m,5.96%,credit_card,rent,1
2680,663,48302,37,21.9%,37081,60m,24.33%,debt_consolidation,mortgage,1
2681,771,80815,37,32.4%,43515,36m,19.6%,debt_consolidation,rent,0
2682,715,141084,28,10.1%,45069,36m,19.38%,wedding,rent,0
2683,728,104748,35,22.2%,49816,36m,6.81%,wedding,mortgage,0
2684,612,83344,25,18.8%,15134,60m,23.59%,credit_card,mortgage,1
2685,681,55618,30,26.4%,41432,60m,14.39%,medical,rent,1
2686,678,131603,11,6.6%,48150,36m,22.05%,wedding,own,0
2687,557,96234,16,31.3%,12841,36m,5.25%,home_improvement,rent,1
2688,706,81114,14,7.8%,28135,60m,10.96%,credit_card,rent,1
2689,604,137652,8,28.0%,14427,36m,24.92%,small_business,mortgage,1
2690,652,90130,38,5.6%,42251,60m,13.56%,credit_card,mortgage,1
2691,680,45525,11,34.1%,36131,36m,22.77%,debt_consolidation,rent,1
2692,581,99818,31,11.1%,38727,60m,11.56%,home_improvement,mortgage,1
2693,559,134589,24,23.0%,27165,60m,15.51%,home_improvement,rent,1
2694,751,34334,38,14.2%,3749,36m,22.08%,car,own,0
2695,760,114715,17,30.3%,35308,60m,17.12%,credit_card,mortgage,0
2696,659,82767,14,16.2%,9634,36m,19.5%,car,rent,1
2697,711,26644,31,30.4%,12614,60m,9.58%,debt_consolidation,rent,0
2698,673,121154,5,15.0%,26866,60m,8.12%,car,mortgage,1
2699,774,133237,34,31.3%,12282,36m,9.61%,medical,mortgage,1
2700,636,52933,33,6.1%,22319,60m,14.86%,credit_card,own,1
2701,604,146366,37,14.9%,38726,36m,21.02%,credit_card,own,1
2702,769,63469,4,22.5%,17412,36m,12.08%,home_improvement,rent,0
2703,581,53687,17,6.6%,38627,60m,16.3%,wedding,own,1
2704,727,126609,15,11.5%,10050,36m,21.1%,car,mortgage,0
2705,684,72656,7,37.7%,26583,36m,9.78%,home_improvement,mortgage,1
2706,642,37375,24,39.2%,20041,36m,22.66%,small_business,mortgage,1
2707,557,134019,31,30.9%,8185,36m,24.06%,car,rent,1
2708,614,140735,25,13.8%,22812,36m,5.78%,wedding,rent,1
2709,606,85206,21,14.1%,27832,36m,6.18%,car,own,1
2710,796,116462,30,27.6%,19423,60m,6.82%,wedding,mortgage,0
2711,616,56607,9,9.1%,49156,60m,20.54%,wedding,own,1
2712,765,103178,11,38.2%,43644,60m,8.79%,debt_consolidation,rent,0
2713,764,43993,27,12.9%,38786,36m,19.51%,car,rent,0
2714,736,64386,5,40.0%,31665,60m,13.83%,home_improvement,rent,1
2715,621,143394,19,22.4%,11989,60m,21.73%,small_business,mortgage,1
2716,603,66287,4,32.0%,20208,36m,21.17%,wedding,own,1
2717,798,106724,22,5.1%,25054,60m,24.19%,car,rent,0
2718,788,118132,8,36.1%,32477,60m,10.02%,car,mortgage,0
2719,778,113308,28,14.5%,32374,36m,9.58%,credit_card,mortgage,0
2720,616,116393,15,28.4%,43220,60m,5.63%,credit_card,mortgage,1
2721,600,147314,21,33.2%,5571,36m,13.21%,small_business,mortgage,1
2722,646,96312,7,10.7%,21576,36m,14.18%,wedding,mortgage,1
2723,641,118371,19,20.5%,11680,36m,24.29%,credit_card,mortgage,1
2724,788,95324,13,22.3%,27706,60m,21.62%,medical,rent,0
2725,557,91196,38,15.9%,16318,36m,8.34%,credit_card,own,1
2726,711,90014,36,21.9%,22659,36m,20.97%,medical,own,0
2727,584,28210,33,16.1%,7029,60m,8.57%,small_business,rent,1
2728,645,30922,10,17.6%,4774,60m,6.56%,medical,mortgage,1
2729,637,56289,39,28.4%,18972,60m,21.74%,small_business,mortgage,1
2730,627,149097,32,27.1%,16048,36m,24.52%,home_improvement,own,1
2731,581,53340,30,13.1%,35372,60m,6.76%,credit_card,rent,1
2732,669,59850,33,36.4%,45188,36m,21.28%,car,mortgage,1
2733,595,76984,6,35.2%,43133,36m,22.18%,wedding,rent,1
2734,784,123699,22,22.8%,16689,36m,7.38%,debt_consolidation,rent,0
2735,693,133711,6,20.2%,18737,60m,10.67%,wedding,mortgage,0
2736,745,104178,24,18.2%,18014,60m,19.67%,car,own,0
2737,793,31094,2,29.8%,23818,60m,21.15%,credit_card,mortgage,0
2738,714,107959,37,28.5%,35201,36m,12.08%,car,mortgage,1
2739,731,53418,19,11.9%,13144,36m,8.2%,credit_card,mortgage,0
2740,762,25741,33,28.5%,33001,36m,17.97%,wedding,own,0
2741,691,131585,29,13.8%,2867,60m,19.04%,credit_card,mortgage,0
2742,772,92374,16,5.6%,29182,36m,15.07%,car,rent,0
2743,604,137275,9,29.5%,16340,36m,7.9%,medical,own,1
2744,725,142564,34,27.6%,13837,60m,21.89%,home_improvement,rent,0
2745,759,88798,19,19.4%,49059,36m,17.91%,home_improvement,rent,0
2746,556,136026,17,23.4%,10787,60m,22.38%,home_improvement,mortgage,1
2747,623,90532,26,38.2%,2393,60m,23.66%,home_improvement,mortgage,1
2748,556,130130,35,25.8%,14056,60m,21.11%,debt_consolidation,mortgage,1
2749,710,42164,22,28.0%,45160,36m,24.17%,small_business,own,0
2750,700,55595,31,7.2%,46957,36m,24.09%,credit_card,rent,0
2751,634,50257,9,10.8%,30429,36m,17.39%,debt_consolidation,rent,1
2752,696,34211,10,15.5%,47909,36m,19.56%,home_improvement,rent,1
2753,661,115989,37,23.9%,33899,60m,18.99%,home_improvement,rent,1
2754,674,25232,5,32.2%,34221,36m,17.42%,wedding,mortgage,1
2755,696,87753,33,16.2%,22754,60m,5.39%,car,rent,0
2756,585,72691,35,17.5%,46389,36m,12.12%,home_improvement,own,1
2757,578,109765,36,14.0%,22905,60m,7.0%,credit_card,mortgage,1
2758,737,99768,16,13.9%,26083,36m,11.01%,wedding,mortgage,0
2759,631,45613,39,38.2%,43098,36m,6.37%,home_improvement,rent,1
2760,551,34026,39,27.2%,31621,36m,23.4%,home_improvement,mortgage,1
2761,678,73535,11,10.5%,22577,60m,14.03%,debt_consolidation,mortgage,1
2762,596,114090,20,30.3%,38728,36m,8.79%,credit_card,rent,1
2763,746,50908,39,30.3%,2663,36m,16.7%,medical,mortgage,0
2764,697,72113,18,28.3%,49301,36m,8.93%,car,rent,0
2765,560,39610,2,9.7%,21216,36m,21.09%,medical,own,1
2766,783,66646,17,19.3%,49259,60m,11.12%,small_business,mortgage,0
2767,679,125141,18,8.7%,11265,60m,11.3%,debt_consolidation,own,0
2768,744,83185,5,33.6%,6574,36m,22.4%,home_improvement,mortgage,1
2769,764,92567,15,27.9%,24755,36m,16.18%,car,mortgage,0
2770,668,67574,7,22.8%,33241,36m,22.75%,small_business,mortgage,1
2771,689,143978,17,17.0%,24676,60m,13.26%,small_business,own,1
2772,569,145204,38,11.4%,23561,36m,11.88%,credit_card,mortgage,1
2773,554,111051,11,8.7%,26737,60m,15.12%,car,mortgage,1
